,contribution_receipt_amount,contributor_zip,party
677,2300.0,10021,DEM
678,2300.0,10022,DEM
679,2300.0,7869,DEM
680,2300.0,7869,DEM
681,2300.0,11771,DEM
682,2300.0,90266,DEM
683,2300.0,77002,DEM
684,2300.0,10019,DEM
685,2300.0,11530,DEM
686,2200.0,94118,DEM
687,1800.0,94118,DEM
688,1000.0,10021,DEM
689,1000.0,10010,DEM
690,500.0,10014,DEM
691,500.0,10017,DEM
692,500.0,10016,DEM
693,250.0,10023,DEM
694,250.0,10025,DEM
695,100.0,20854,DEM
696,25.0,60178,DEM
697,50.0,98006,DEM
698,15.0,10016,DEM
699,50.0,20008,DEM
700,50.0,10022,DEM
701,250.0,77494,DEM
702,1000.0,10016,DEM
703,50.0,97741,DEM
704,100.0,1701,DEM
705,250.0,11215,DEM
706,250.0,22152,DEM
707,50.0,23225,REP
708,100.0,22307,REP
709,16.0,10065,REP
710,-2300.0,33180,DEM
711,-25.0,46227,DEM
712,-5.0,20743,DEM
713,500.0,35586,DEM
714,250.0,8108,DEM
715,50.0,21123,DEM
716,25.0,60044,DEM
717,25.0,33116,DEM
718,250.0,45150,DEM
719,50.0,10038,DEM
720,250.0,11787,DEM
721,50.0,36608,DEM
722,250.0,92404,DEM
723,50.0,7512,DEM
724,50.0,47304,DEM
725,250.0,94022,DEM
726,25.0,10460,LIB
727,500.0,27615,REP
728,25.0,79912,REP
729,50.0,93912,REP
730,35.0,22844,REP
731,20.0,11758,REP
732,50.0,2030,REP
733,50.0,2030,REP
734,100.0,15101,REP
735,100.0,45371,REP
736,50.0,29123,REP
737,25.0,88210,REP
738,50.0,63074,REP
739,50.0,73008,REP
740,15.0,77339,REP
741,35.0,40157,REP
742,25.0,10003,REP
743,50.0,98236,REP
744,-900.0,2050,DEM
745,-100.0,1432,DEM
746,-100.0,1432,DEM
747,150.0,92127,DEM
748,-5.0,92037,DEM
749,-25.0,92037,DEM
750,-5.0,20743,DEM
751,-5.0,20743,DEM
752,-5.0,20743,DEM
753,-500.0,27615,REP
754,-50.0,63074,REP
755,2300.0,33109,DEM
756,2300.0,20008,DEM
757,2300.0,19081,DEM
758,2300.0,10021,DEM
759,1200.0,10011,DEM
760,1000.0,20004,DEM
761,500.0,20015,DEM
762,200.0,87107,DEM
763,25.0,10023,DEM
764,250.0,11768,DEM
765,50.0,40047,DEM
766,50.0,10021,DEM
767,50.0,14226,DEM
768,250.0,13760,DEM
769,25.0,20901,DEM
770,1000.0,7849,DEM
771,50.0,33156,DEM
772,250.0,21114,DEM
773,250.0,30135,DEM
774,250.0,18088,DEM
775,27.0,70806,REP
776,25.0,2127,REP
777,50.0,80150,REP
778,25.0,7644,REP
779,35.0,34238,REP
780,100.0,52556,REP
781,25.0,7082,REP
782,25.0,12749,REP
783,250.0,11530,REP
784,50.0,85395,REP
785,50.0,62257,REP
786,100.0,22405,REP
787,20.0,71111,REP
788,140.0,46241,REP
789,25.0,98902,REP
790,45.0,45883,REP
791,50.0,11040,REP
792,250.0,17319,REP
793,100.0,66106,REP
794,-2300.0,53045,REP
795,2300.0,53045,REP
796,-1500.0,53704,REP
797,1500.0,53704,REP
798,500.0,63303,REP
799,250.0,99514,REP
800,1000.0,89509,REP
801,2300.0,70118,REP
802,-2000.0,18337,DEM
803,-2300.0,33138,DEM
804,-100.0,66046,DEM
805,-30.0,98021,DEM
806,-100.0,61107,DEM
807,-100.0,61107,DEM
808,200.0,33715,REP
809,-250.0,11530,REP
810,2000.0,10021,DEM
811,50.0,11720,DEM
812,1000.0,10017,DEM
813,250.0,90068,DEM
814,30.0,21663,DEM
815,15.0,11727,DEM
816,200.0,2324,DEM
817,500.0,19806,DEM
818,250.0,60614,DEM
819,10.0,2633,DEM
820,2.0,98133,DEM
821,100.0,22407,DEM
822,200.0,94118,DEM
823,50.0,94024,DEM
824,50.0,68512,DEM
825,100.0,93001,DEM
826,100.0,1950,DEM
827,40.0,37377,DEM
828,250.0,80128,DEM
829,1.0,91107,DEM
830,25.0,46835,DEM
831,250.0,94301,DEM
832,50.0,60453,DEM
833,100.0,78239,DEM
834,300.0,94805,DEM
835,50.0,92037,DEM
836,750.0,72404,DEM
837,50.0,6763,DEM
838,50.0,95212,DEM
839,50.0,94301,DEM
840,20.0,95136,DEM
841,400.0,2780,DEM
842,200.0,2780,DEM
843,1000.0,2780,DEM
844,100.0,13224,DEM
845,100.0,70123,DEM
846,50.0,74002,DEM
847,5.0,48307,DEM
848,20.0,10462,DEM
849,100.0,53226,DEM
850,250.0,34224,DEM
851,200.0,89408,DEM
852,250.0,74043,DEM
853,50.0,10028,DEM
854,50.0,48221,DEM
855,50.0,94105,DEM
856,100.0,1844,DEM
857,50.0,10022,DEM
858,30.0,48089,DEM
859,500.0,94105,DEM
860,50.0,37919,DEM
861,100.0,10011,DEM
862,3.0,19006,DEM
863,5.0,19006,DEM
864,10.0,19006,DEM
865,25.0,20815,DEM
866,250.0,73105,DEM
867,25.0,32250,DEM
868,50.0,23518,DEM
869,20.0,63628,DEM
870,250.0,3750,DEM
871,50.0,14618,DEM
872,200.0,93060,DEM
873,75.0,93060,DEM
874,100.0,49686,DEM
875,40.0,92262,DEM
876,20.0,91765,DEM
877,10.0,55975,DEM
878,50.0,48050,DEM
879,25.0,85375,DEM
880,20.0,94941,DEM
881,10.0,75234,DEM
882,100.0,60523,DEM
883,250.0,3601,DEM
884,2000.0,11432,DEM
885,100.0,30319,DEM
886,50.0,27514,DEM
887,80.0,94561,DEM
888,5.0,31791,DEM
889,50.0,10011,DEM
890,250.0,91601,DEM
891,40.0,85204,DEM
892,20.0,85204,DEM
893,100.0,60640,DEM
894,100.0,48838,DEM
895,100.0,6390,DEM
896,1000.0,30022,DEM
897,10.0,30311,GRE
898,15.0,55405,GRE
899,1000.0,44236,REP
900,50.0,32804,REP
901,100.0,78681,REP
902,35.0,37620,REP
903,100.0,50131,REP
904,100.0,76848,REP
905,35.0,95070,REP
906,1000.0,58103,REP
907,45.0,56073,REP
908,50.0,57022,REP
909,20.0,90806,REP
910,50.0,90806,REP
911,35.0,10024,REP
912,1000.0,55902,REP
913,25.0,96003,REP
914,50.0,80528,REP
915,100.0,33317,REP
916,2300.0,10022,REP
917,30.0,63366,REP
918,25.0,7110,REP
919,50.0,95333,REP
920,100.0,78676,REP
921,100.0,63011,REP
922,10.0,85710,REP
923,500.0,94705,REP
924,25.0,52245,REP
925,50.0,92651,REP
926,100.0,55120,REP
927,200.0,54701,REP
928,25.0,77036,REP
929,50.0,43213,REP
930,50.0,91108,REP
931,-2300.0,77354,REP
932,2300.0,77354,REP
933,1000.0,10011,REP
934,-245.0,8260,DEM
935,-500.0,77450,DEM
936,-250.0,80906,DEM
937,8.33,60660,DEM
938,-200.0,2176,DEM
939,-100.32,10543,DEM
940,-1000.0,44236,REP
941,-1000.0,58103,REP
942,-45.0,56073,REP
943,-1000.0,55902,REP
944,-2300.0,10022,REP
945,-50.0,95333,REP
946,-500.0,94705,REP
947,2300.0,10024,DEM
948,2300.0,11976,DEM
949,1300.0,10580,DEM
950,1200.0,90210,DEM
951,1000.0,90024,DEM
952,1000.0,6068,DEM
953,1000.0,10014,DEM
954,20.0,47581,DEM
955,50.0,29926,DEM
956,50.0,22306,DEM
957,500.0,72473,DEM
958,50.0,48933,DEM
959,100.0,20009,DEM
960,250.0,91107,DEM
961,250.0,44272,DEM
962,20.0,55402,DEM
963,50.0,36106,DEM
964,40.0,85340,DEM
965,40.0,8053,DEM
966,20.0,90045,DEM
967,40.0,52240,DEM
968,-40.0,52240,DEM
969,200.0,74701,DEM
970,250.0,60045,DEM
971,50.0,80111,DEM
972,100.0,87111,DEM
973,100.0,60645,DEM
974,250.0,29045,DEM
975,50.0,27909,DEM
976,100.0,27909,DEM
977,110.0,22204,DEM
978,25.0,97045,DEM
979,250.0,20814,DEM
980,50.0,34698,DEM
981,25.0,78216,DEM
982,250.0,85372,DEM
983,100.0,2149,DEM
984,25.0,70056,DEM
985,25.0,78717,DEM
986,250.0,11201,DEM
987,250.0,94131,DEM
988,100.0,20004,DEM
989,50.0,92122,DEM
990,10.0,28759,DEM
991,250.0,20785,DEM
992,50.0,30606,REP
993,100.0,34423,REP
994,30.0,24293,REP
995,50.0,85745,REP
996,55.0,73162,REP
997,25.0,62888,REP
998,100.0,58501,REP
999,100.0,66203,REP
1000,100.0,79105,REP
1001,15.0,32955,REP
1002,100.0,33916,REP
1003,50.0,95521,REP
1004,400.0,92629,REP
1005,55.0,73162,REP
1006,25.0,97007,REP
1007,25.0,44805,REP
1008,1000.0,40516,REP
1009,100.0,18966,REP
1010,250.0,99999,REP
1011,46.0,98405,REP
1012,25.0,43302,REP
1013,20.0,80160,REP
1014,20.0,98175,REP
1015,25.0,32825,REP
1016,250.0,7006,REP
1017,25.0,68371,REP
1018,25.0,61016,REP
1019,100.0,21842,REP
1020,50.0,66213,REP
1021,50.0,40204,REP
1022,75.0,78247,REP
1023,20.0,61350,REP
1024,500.0,76354,REP
1025,-100.0,60513,DEM
1026,-100.0,60513,DEM
1027,-100.0,60513,DEM
1028,-100.0,60513,DEM
1029,-100.0,20874,DEM
1030,-1000.0,61231,DEM
1031,-510.0,91356,DEM
1032,-50.0,29910,DEM
1033,-50.0,29910,DEM
1034,-25.0,7078,DEM
1035,-205.0,33309,DEM
1036,-250.0,22046,DEM
1037,-250.0,22046,DEM
1038,500.0,53562,REP
1039,-400.0,92629,REP
1040,300.0,54703,REP
1041,-1000.0,40516,REP
1042,-250.0,99999,REP
1043,-250.0,7006,REP
1044,-50.0,40204,REP
1045,50.0,20008,DEM
1046,50.0,94606,DEM
1047,50.0,92345,DEM
1048,25.0,50613,DEM
1049,500.0,20007,DEM
1050,50.0,72404,DEM
1051,250.0,92648,DEM
1052,50.0,10603,DEM
1053,150.0,32789,DEM
1054,200.0,60615,DEM
1055,750.0,2118,DEM
1056,150.0,6403,DEM
1057,50.0,89002,DEM
1058,120.0,27330,DEM
1059,50.0,52245,DEM
1060,10.0,90045,DEM
1061,250.0,76034,DEM
1062,225.0,94116,DEM
1063,50.0,44116,DEM
1064,100.0,73505,DEM
1065,100.0,10024,DEM
1066,50.0,92677,DEM
1067,50.0,80302,DEM
1068,100.0,99516,DEM
1069,100.0,8701,DEM
1070,1000.0,90272,DEM
1071,100.0,94131,DEM
1072,250.0,94941,DEM
1073,100.0,7003,DEM
1074,100.0,19035,DEM
1075,50.0,43146,DEM
1076,25.0,94518,DEM
1077,100.0,45371,DEM
1078,25.0,60089,DEM
